"Date","Month","Year","Product","Units_Sold","Price_Per_Unit","Total_Sales","Month_Year"
2024-01-01,"Jan",2024,"Product A",464,59,27376,"Jan 2024"
2024-01-01,"Jan",2024,"Product B",228,52,11856,"Jan 2024"
2024-01-01,"Jan",2024,"Product C",63,23,1449,"Jan 2024"
2024-01-01,"Jan",2024,"Product D",244,34,8296,"Jan 2024"
2024-01-01,"Jan",2024,"Product E",475,99,47025,"Jan 2024"
2024-02-01,"Feb",2024,"Product A",140,18,2520,"Feb 2024"
2024-02-01,"Feb",2024,"Product B",305,81,24705,"Feb 2024"
2024-02-01,"Feb",2024,"Product C",246,35,8610,"Feb 2024"
2024-02-01,"Feb",2024,"Product D",140,16,2240,"Feb 2024"
2024-02-01,"Feb",2024,"Product E",490,51,24990,"Feb 2024"
2024-03-01,"Mar",2024,"Product A",186,90,16740,"Mar 2024"
2024-03-01,"Mar",2024,"Product B",303,52,15756,"Mar 2024"
2024-03-01,"Mar",2024,"Product C",260,85,22100,"Mar 2024"
2024-03-01,"Mar",2024,"Product D",469,24,11256,"Mar 2024"
2024-03-01,"Mar",2024,"Product E",127,41,5207,"Mar 2024"
2024-04-01,"Apr",2024,"Product A",158,32,5056,"Apr 2024"
2024-04-01,"Apr",2024,"Product B",312,36,11232,"Apr 2024"
2024-04-01,"Apr",2024,"Product C",442,69,30498,"Apr 2024"
2024-04-01,"Apr",2024,"Product D",474,62,29388,"Apr 2024"
2024-04-01,"Apr",2024,"Product E",379,16,6064,"Apr 2024"
2024-05-01,"May",2024,"Product A",358,43,15394,"May 2024"
2024-05-01,"May",2024,"Product B",460,78,35880,"May 2024"
2024-05-01,"May",2024,"Product C",273,81,22113,"May 2024"
2024-05-01,"May",2024,"Product D",215,85,18275,"May 2024"
2024-05-01,"May",2024,"Product E",266,72,19152,"May 2024"
2024-06-01,"Jun",2024,"Product A",190,47,8930,"Jun 2024"
2024-06-01,"Jun",2024,"Product B",259,30,7770,"Jun 2024"
2024-06-01,"Jun",2024,"Product C",402,88,35376,"Jun 2024"
2024-06-01,"Jun",2024,"Product D",396,50,19800,"Jun 2024"
2024-06-01,"Jun",2024,"Product E",202,56,11312,"Jun 2024"
2024-07-01,"Jul",2024,"Product A",139,15,2085,"Jul 2024"
2024-07-01,"Jul",2024,"Product B",365,81,29565,"Jul 2024"
2024-07-01,"Jul",2024,"Product C",272,95,25840,"Jul 2024"
2024-07-01,"Jul",2024,"Product D",65,95,6175,"Jul 2024"
2024-07-01,"Jul",2024,"Product E",165,48,7920,"Jul 2024"
2024-08-01,"Aug",2024,"Product A",208,43,8944,"Aug 2024"
2024-08-01,"Aug",2024,"Product B",289,13,3757,"Aug 2024"
2024-08-01,"Aug",2024,"Product C",258,22,5676,"Aug 2024"
2024-08-01,"Aug",2024,"Product D",423,78,32994,"Aug 2024"
2024-08-01,"Aug",2024,"Product E",355,34,12070,"Aug 2024"
2024-09-01,"Sep",2024,"Product A",357,96,34272,"Sep 2024"
2024-09-01,"Sep",2024,"Product B",327,44,14388,"Sep 2024"
2024-09-01,"Sep",2024,"Product C",138,49,6762,"Sep 2024"
2024-09-01,"Sep",2024,"Product D",465,39,18135,"Sep 2024"
2024-09-01,"Sep",2024,"Product E",74,21,1554,"Sep 2024"
2024-10-01,"Oct",2024,"Product A",208,23,4784,"Oct 2024"
2024-10-01,"Oct",2024,"Product B",170,80,13600,"Oct 2024"
2024-10-01,"Oct",2024,"Product C",159,76,12084,"Oct 2024"
2024-10-01,"Oct",2024,"Product D",207,32,6624,"Oct 2024"
2024-10-01,"Oct",2024,"Product E",113,88,9944,"Oct 2024"
2024-11-01,"Nov",2024,"Product A",201,59,11859,"Nov 2024"
2024-11-01,"Nov",2024,"Product B",321,83,26643,"Nov 2024"
2024-11-01,"Nov",2024,"Product C",278,95,26410,"Nov 2024"
2024-11-01,"Nov",2024,"Product D",150,85,12750,"Nov 2024"
2024-11-01,"Nov",2024,"Product E",184,93,17112,"Nov 2024"
2024-12-01,"Dec",2024,"Product A",334,44,14696,"Dec 2024"
2024-12-01,"Dec",2024,"Product B",483,88,42504,"Dec 2024"
2024-12-01,"Dec",2024,"Product C",742,33,24486,"Dec 2024"
2024-12-01,"Dec",2024,"Product D",526,96,50496,"Dec 2024"
2024-12-01,"Dec",2024,"Product E",538,16,8608,"Dec 2024"
